id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401218616,2020,1,regular,2020-08-30T01:00:00.000Z,False,True,True,False,,3689,Cramton Bowl,2110,Central Arkansas,fcs,Southland,24,"[0, 6, 7, 11]",,,,2046,Austin Peay,fcs,OVC,17,"[7, 3, 0, 7]",,,,,,,
401238035,2020,1,regular,2020-09-04T00:00:00.000Z,False,True,False,False,12716,3803,Legion Field,5,UAB,fbs,Conference USA,45,"[14, 14, 3, 14]",1,,,2110,Central Arkansas,fcs,Southland,35,"[7, 14, 0, 14]",0,,,3.530772016454403,https://www.youtube.com/watch?v=aBwb65AoLmQ,,
401207101,2020,1,regular,2020-09-04T01:00:00.000Z,False,True,False,False,,3815,M. M. Roberts Stadium,2572,Southern Miss,fbs,Conference USA,21,"[0, 10, 3, 8]",0.4005001187324524,1451,1406,6,South Alabama,fbs,Sun Belt,32,"[13, 0, 10, 9]",0.5994998812675476,1227,1272,5.393732199919355,https://www.youtube.com/watch?v=XzIoo20mNEo,,
401237353,2020,1,regular,2020-09-05T17:00:00.000Z,False,True,False,False,12001,3775,Joan C. Edwards Stadium,276,Marshall,fbs,Conference USA,59,"[21, 17, 14, 7]",0.9919722080230713,,,2198,Eastern Kentucky,fcs,OVC,0,"[0, 0, 0, 0]",0.008027791976928711,,,1.6358688656668747,https://www.youtube.com/watch?v=TBf5sm0SvaE,,
401235700,2020,1,regular,2020-09-05T17:30:00.000Z,False,True,False,False,5249,3841,Michie Stadium,349,Army,fbs,FBS Independents,42,"[7, 14, 14, 7]",0.9948192238807678,1495,1610,2393,Middle Tennessee,fbs,Conference USA,0,"[0, 0, 0, 0]",0.005180776119232178,1429,1314,1.4677486208544765,https://www.youtube.com/watch?v=FdOHH54jzW4,,
401212484,2020,1,regular,2020-09-05T20:30:00.000Z,False,True,False,False,7500,3644,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,24,"[0, 14, 7, 3]",0.08072133362293243,1193,1206,2567,SMU,fbs,American Athletic,31,"[0, 14, 14, 3]",0.9192786663770676,1557,1544,7.283033252115729,https://www.youtube.com/watch?v=DV-qRe8YnqI,,
401207098,2020,1,regular,2020-09-05T23:30:00.000Z,False,True,False,False,7611,3825,DATCU Stadium,249,North Texas,fbs,Conference USA,57,"[14, 9, 20, 14]",0.978184163570404,,,2277,Houston Christian,fcs,Southland,31,"[0, 10, 7, 14]",0.021815836429595947,,,2.9068044795586028,https://www.youtube.com/watch?v=MRNGDI4smi0,,
401212553,2020,1,regular,2020-09-06T00:00:00.000Z,False,True,False,False,4537,3805,Simmons Bank Liberty Stadium,235,Memphis,fbs,American Athletic,37,"[7, 14, 13, 3]",0.9496133923530579,1698,1702,2032,Arkansas State,fbs,Sun Belt,24,"[14, 0, 3, 7]",0.05038660764694214,1431,1427,5.0593652483541955,https://www.youtube.com/watch?v=icu9T9MZt9c,,
401239884,2020,1,regular,2020-09-06T01:00:00.000Z,False,True,False,False,6047,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,24,"[3, 14, 0, 7]",0.9730509519577026,,,2617,Stephen F. Austin,fcs,Southland,14,"[7, 7, 0, 0]",0.026949048042297363,,,3.9864193373225025,https://www.youtube.com/watch?v=oPjntxHEzkw,,
401234576,2020,1,regular,2020-09-08T00:00:00.000Z,False,True,False,False,0,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,fbs,American Athletic,3,"[0, 0, 3, 0]",0,1625,1438,252,BYU,fbs,FBS Independents,55,"[14, 17, 17, 7]",1,1513,1700,2.2897891326914985,https://www.youtube.com/watch?v=4SIzQoVuVI0,,
401234559,2020,2,regular,2020-09-11T00:00:00.000Z,False,True,False,False,8153,3948,Hard Rock Stadium,2390,Miami,fbs,ACC,31,"[7, 7, 17, 0]",0.9978418110459198,1528,1553,5,UAB,fbs,Conference USA,14,"[7, 0, 7, 0]",0.0021581889540801535,1399,1374,3.686792617,https://www.youtube.com/watch?v=Lj96EKcMjp0,,
