id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401426532,2022,1,regular,2022-08-27T16:00:00.000Z,False,True,False,False,13688,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,38,"[7, 14, 0, 17]",0.9828328490257263,1684,1684,2046,Austin Peay,fcs,Atlantic Sun,27,"[10, 7, 3, 7]",0.01716715097427368,,,4.668727712637413,,,
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,False,True,True,True,,3504,Aviva Stadium,77,Northwestern,fbs,Big Ten,31,"[3, 14, 7, 7]",0.9412754774093628,1361,1381,158,Nebraska,fbs,Big Ten,28,"[7, 7, 14, 0]",0.05872452259063721,1636,1616,7.080596974805498,,,
401439512,2022,1,regular,2022-08-27T19:00:00.000Z,False,True,True,False,,,,125762,Florida Memorial University,,,39,"[13, 13, 6, 7]",,,,2206,Edward Waters,ii,SIAC,34,"[0, 0, 21, 13]",,,,,,,
401413213,2022,1,regular,2022-08-27T19:30:00.000Z,False,True,True,False,,3689,Cramton Bowl,55,Jacksonville State,fcs,Atlantic Sun,42,"[7, 14, 21, 0]",0.9952564239501953,,,2617,Stephen F. Austin,fcs,Western Athletic,17,"[7, 10, 0, 0]",0.0047435760498046875,,,4.546513259427732,,FCS Kickoff,
401413256,2022,1,regular,2022-08-27T19:30:00.000Z,False,True,False,False,19579,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,52,"[10, 35, 0, 7]",0.9988837999616828,1300,1300,304,Idaho State,fcs,Big Sky,21,"[7, 0, 7, 7]",0.00111620003831725,,,1.5942419241,,,
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,37832,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,38,"[7, 10, 7, 14]",0.9830090403556824,1496,1584,2751,Wyoming,fbs,Mountain West,6,"[3, 0, 3, 0]",0.016990959644317627,1497,1409,3.1584626945484575,,,
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,19553,3905,Maverik Stadium,328,Utah State,fbs,Mountain West,31,"[0, 24, 0, 7]",0.9823276400566101,1566,1555,41,UConn,fbs,FBS Independents,20,"[14, 0, 0, 6]",0.017672359943389893,1117,1128,5.097938827434819,,,
401411090,2022,1,regular,2022-08-27T21:00:00.000Z,False,True,False,False,51207,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,47,"[20, 6, 14, 7]",0.9769148230552673,1501,1501,2184,Duquesne,fcs,NEC,7,"[0, 0, 7, 0]",0.023085176944732666,,,2.050632298502832,,,
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,False,True,19571,3715,FAU Stadium,2226,Florida Atlantic,fbs,Conference USA,43,"[10, 16, 7, 10]",0.9909507036209106,1427,1488,2429,Charlotte,fbs,Conference USA,13,"[7, 0, 6, 0]",0.009049296379089355,1272,1211,6.482355706203133,,,
401422922,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,False,False,,4417,Five Star Stadium at the Moye Complex,2382,Mercer,fcs,Southern,63,"[14, 28, 14, 7]",0.9941574335098267,,,2413,Morehead State,fcs,Pioneer,13,"[0, 10, 3, 0]",0.00584256649017334,,,2.530871383782627,,,
401423448,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,True,False,,4246,Center Parc Stadium,2011,Alabama State,fcs,SWAC,23,"[6, 7, 7, 3]",0.8018093705177307,,,47,Howard,fcs,MEAC,13,"[3, 3, 0, 7]",0.1981906294822693,,,3.661063616585933,,Cricket MEAC/SWAC Challenge Kickoff,
401411091,2022,1,regular,2022-08-28T00:15:00.000Z,False,True,False,False,46130,3787,Kenan Stadium,153,North Carolina,fbs,ACC,56,"[14, 14, 7, 21]",0.9910025000572205,1555,1555,50,Florida A&M,fcs,SWAC,24,"[7, 7, 10, 0]",0.008997499942779541,,,3.4451314247729767,,,
401426531,2022,1,regular,2022-08-28T01:00:00.000Z,False,True,False,True,45971,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,13,"[0, 13, 0, 0]",0.02488996833562851,1360,1323,249,North Texas,fbs,Conference USA,31,"[0, 14, 14, 3]",0.9751100316643715,1426,1463,5.138324901969234,,,
401409235,2022,1,regular,2022-08-28T02:00:00.000Z,False,True,False,False,,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,12,"[0, 2, 7, 3]",0,1184,1192,2440,Nevada,fbs,Mountain West,23,"[0, 17, 0, 6]",1,1564,1556,3.993536523260908,,,
401403853,2022,1,regular,2022-08-28T02:30:00.000Z,False,True,False,False,9346,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,10,"[7, 3, 0, 0]",0,1432,1223,238,Vanderbilt,fbs,SEC,63,"[14, 7, 35, 7]",1,1222,1431,3.9124190877135883,,,
401437007,2022,1,regular,2022-09-01T18:00:00.000Z,False,True,False,False,,6059,Sanchez Family Stadium,2424,New Mexico Highlands,ii,Rocky Mountain,18,"[0, 3, 7, 8]",,,,2201,Eastern New Mexico,ii,Lone Star,34,"[3, 7, 17, 7]",,,,,,,
401433043,2022,1,regular,2022-09-01T21:30:00.000Z,False,True,False,False,,6071,Jess Dow Field,2583,Southern Connecticut State,ii,Northeast 10,7,"[0, 0, 7, 0]",,,,2974,Shepherd,ii,Pennsylvania State Athletic,48,"[14, 13, 21, 0]",,,,,,,
401430716,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,6221,Mitchell Stadium,124180,Bluefield State,ii,Independent DII,35,"[7, 3, 10, 7, 8]",,,,2304,Johnson C. Smith,ii,CIAA,34,"[7, 13, 7, 0, 7]",,,,,,,
401431542,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,3927,Sherman Field,2392,Michigan Tech,ii,GLIAC,23,"[0, 7, 16, 0]",,,,272,Wisconsin Platteville,iii,Wisconsin,13,"[0, 0, 7, 6]",,,,,,,
401431571,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,3770,Jack Miller Stadium,308,Ashland,ii,Great Midwest Athletic,31,"[7, 10, 0, 14]",,,,587,Notre Dame College,ii,Mountain East,14,"[0, 0, 7, 7]",,,,,,,
401431561,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,3885,Harvey Randall Wickes Memorial Stadium,129,Saginaw Valley State,ii,GLIAC,72,"[20, 17, 7, 28]",,,,455,West Virginia Wesleyan,ii,Mountain East,0,"[0, 0, 0, 0]",,,,,,,
401430722,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,6078,Pioneer Field (TN),2839,Tusculum,ii,South Atlantic,70,"[14, 21, 21, 14]",,,,395,St. Augustine's,ii,CIAA,13,"[0, 6, 0, 7]",,,,,,,
401421137,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,3629,Barker-Lane Stadium,2097,Campbell,fcs,Big South,29,"[7, 10, 6, 6]",1,,,2643,The Citadel,fcs,Southern,10,"[3, 0, 0, 7]",0,,,4.947244802341584,,,
401431978,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,5220,Garrison Stadium,2804,Chowan,ii,CIAA,3,"[0, 0, 3, 0]",,,,122666,Barton,ii,South Atlantic,17,"[7, 3, 0, 7]",,,,,,,
401418776,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,17,"[3, 3, 0, 8, 3]",0.8917624950408936,,,2453,North Alabama,fcs,Atlantic Sun,14,"[0, 7, 0, 7, 0]",0.10823750495910645,,,9.762527893743794,,,
401432134,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,4437,"Memorial Stadium (Clarion, PA)",2134,Clarion,ii,Pennsylvania State Athletic,14,"[7, 0, 7, 0]",,,,2699,West Liberty,ii,Mountain East,21,"[7, 14, 0, 0]",,,,,,,
401416568,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,8752,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,30,"[3, 7, 7, 6, 7]",0.3222044110298157,1096,1096,2598,Saint Francis,fcs,NEC,23,"[3, 10, 3, 7, 0]",0.6777955889701843,,,13.1911158519098,,,
401428480,2022,1,regular,2022-09-01T22:00:00.000Z,False,True,False,False,,3979,Wagner College Stadium,2681,Wagner,fcs,NEC,31,"[7, 14, 7, 3]",0.016489539295434952,,,2230,Fordham,fcs,Patriot,48,"[7, 7, 20, 14]",0.983510460704565,,,11.476417583843826,,,
401432987,2022,1,regular,2022-09-01T22:30:00.000Z,False,True,False,False,,4436,Adamson Stadium,2858,California (PA),ii,Pennsylvania State Athletic,35,"[7, 14, 7, 7]",,,,2986,Fairmont State,ii,Mountain East,15,"[0, 6, 3, 6]",,,,,,,
401430986,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,,6081,Harper Davis Field,2398,Millsaps,iii,Southern Athletic,21,[],,,,2056,Belhaven,iii,USA South,49,[],,,,,,,
