season,week,team,rating,rank
2019,2,San Diego State,1610.9,52
2019,2,Memphis,1608.5,53
2019,2,Purdue,1606.1,54
2019,2,Wyoming,1597.1,55
2019,2,Cincinnati,1591.2,56
2019,2,Iowa State,1590.7,57
2019,2,Arkansas,1586.1,58
2019,2,UAB,1581.7,59
2019,2,Hawai'i,1580.8,60
2019,2,Georgia Tech,1580.2,61
2019,2,Tennessee,1579.7,62
2019,2,Tulane,1574.7,63
2019,2,Syracuse,1574.1,64
2019,2,Rutgers,1573.0,65
2019,2,Arkansas State,1571.9,66
2019,2,Pittsburgh,1571.5,67
2019,2,App State,1570.6,68
2019,2,Georgia State,1570.5,69
2019,2,Houston,1568.4,70
2019,2,Northwestern,1567.2,71
2019,2,Duke,1566.4,72
2019,2,Tulsa,1564.2,73
2019,2,Louisville,1562.5,74
2019,2,Temple,1558.4,75
2019,2,Arizona,1551.4,76
2019,2,BYU,1550.7,77
2019,2,West Virginia,1549.0,78
2019,2,UCLA,1545.6,79
2019,2,Marshall,1535.3,80
2019,2,Western Kentucky,1534.7,81
2019,2,Louisiana Tech,1531.4,82
2019,2,New Mexico,1526.0,83
2019,2,Utah State,1524.9,84
2019,2,Troy,1524.3,85
2019,2,Kansas,1524.1,86
2019,2,Middle Tennessee,1522.9,87
2019,2,Louisiana,1519.9,88
2019,2,Southern Miss,1519.6,89
2019,2,Nevada,1518.9,90
2019,2,Colorado State,1518.3,91
2019,2,East Carolina,1516.5,92
2019,2,Oregon State,1513.9,93
2019,2,Western Michigan,1513.2,94
2019,2,North Texas,1513.0,95
2019,2,Toledo,1510.1,96
2019,2,UTSA,1509.3,97
2019,2,Fresno State,1508.0,98
2019,2,Navy,1507.4,99
2019,2,Eastern Michigan,1506.8,100
2019,2,Georgia Southern,1505.5,101
2019,2,UL Monroe,1504.0,102
2019,2,Vanderbilt,1503.9,103
2019,2,Central Michigan,1503.2,104
2019,2,Northern Illinois,1501.8,105
2019,2,Army,1500.5,106
2019,2,South Alabama,1496.8,107
2019,2,UConn,1493.0,108
2019,2,Coastal Carolina,1489.4,109
2019,2,Old Dominion,1486.4,110
2019,2,Miami (OH),1486.2,111
2019,2,Charlotte,1484.8,112
2019,2,South Florida,1483.2,113
2019,2,Ohio,1476.9,114
2019,2,Florida Atlantic,1474.7,115
2019,2,UNLV,1474.5,116
2019,2,Florida International,1473.4,117
2019,2,San José State,1472.7,118
2019,2,Ball State,1471.4,119
2019,2,UTEP,1471.0,120
2019,2,Kent State,1470.4,121
2019,2,Buffalo,1469.2,122
2019,2,Bowling Green,1459.7,123
2019,2,Air Force,1444.2,124
2019,2,Texas State,1439.0,125
2019,2,Rice,1435.4,126
2019,2,New Mexico State,1426.7,127
2019,2,Akron,1415.8,128
2019,2,Massachusetts,1381.4,129
2019,2,Liberty,1360.1,130
2019,3,Ohio State,1828.0,1
2019,3,Alabama,1820.8,2
2019,3,Clemson,1800.1,3
2019,3,Georgia,1790.4,4
2019,3,LSU,1765.4,5
2019,3,Oklahoma,1761.1,6
2019,3,Auburn,1749.7,7
2019,3,Notre Dame,1749.1,8
2019,3,Florida,1746.0,9
2019,3,Penn State,1720.1,10
2019,3,Wisconsin,1719.7,11
2019,3,USC,1718.7,12
2019,3,Oklahoma State,1715.1,13
