id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,False,True,False,True,41064,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,30,"[2, 14, 14, 0]",0.7141324877738953,1392,1411,158,Nebraska,fbs,Big Ten,22,"[0, 9, 7, 6]",0.28586751222610474,1503,1484,3.815672981765169,,,
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,False,True,False,False,26043,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,45,"[7, 24, 7, 7]",0.9899201989173889,1465,1566,41,UConn,fbs,FBS Independents,0,"[0, 0, 0, 0]",0.010079801082611084,1223,1122,2.4612123467383187,,,
401329133,2021,1,regular,2021-08-28T19:00:00.000Z,False,True,True,True,,3861,Ohio Stadium,2119,Central State,ii,SIAC,6,"[0, 0, 0, 6]",,,,2310,Kentucky State,ii,SIAC,20,"[6, 7, 0, 7]",,,,,,,
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,False,True,False,False,32982,1056,Rose Bowl,26,UCLA,fbs,Pac-12,44,"[24, 7, 13, 0]",0.9941574335098267,1517,1605,62,Hawai'i,fbs,Mountain West,10,"[3, 0, 7, 0]",0.00584256649017334,1466,1378,2.6594396450205195,,,
401328337,2021,1,regular,2021-08-28T22:00:00.000Z,False,True,False,False,,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,26,"[7, 3, 7, 9]",,,,2197,Eastern Illinois,fcs,OVC,21,"[0, 7, 7, 7]",,,,,,,
401327539,2021,1,regular,2021-08-28T23:00:00.000Z,False,True,True,False,,4246,Center Parc Stadium,2428,North Carolina Central,fcs,MEAC,23,"[0, 7, 6, 10]",,,,2016,Alcorn State,fcs,SWAC,14,"[7, 0, 7, 0]",,,,,,Cricket MEAC/SWAC Challenge,
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,False,True,False,False,19034,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,3,"[0, 3, 0, 0]",0.015330485999584198,1261,1182,2638,UTEP,fbs,Conference USA,30,"[17, 3, 10, 0]",0.9846695140004158,1222,1301,3.0678294831774076,,,
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,False,True,False,False,16204,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,45,"[21, 17, 7, 0]",0.9844918251037598,,,253,Southern Utah,fcs,Big Sky,14,"[0, 14, 0, 0]",0.015508174896240234,,,2.251917913228514,,,
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,False,True,True,False,9122,3689,Cramton Bowl,55,Jacksonville State,fcs,AWC,0,"[0, 0, 0, 0]",0.007298274897038937,,,5,UAB,fbs,Conference USA,31,"[0, 10, 14, 7]",0.9927017251029611,,,3.2476810297848244,,Montgomery Kickoff,
401328204,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,True,,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,fcs,CAA,21,"[0, 0, 14, 7]",,,,160,New Hampshire,fcs,CAA,27,"[6, 14, 7, 0]",,,,,,,
401328989,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,False,,3600,Tom Adams Field,131,Wayne State (MI),ii,GLIAC,21,"[6, 8, 7, 0]",,,,215,Slippery Rock,ii,Pennsylvania State Athletic,24,"[7, 3, 14, 0]",,,,,,,
401328215,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,False,,5781,Irwin Belk Stadium,351,Wingate,ii,South Atlantic,30,"[14, 7, 3, 6]",,,,2551,Shaw,ii,CIAA,7,"[0, 0, 0, 7]",,,,,,,
401329056,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3663,Burke-Tarr Stadium,2105,Carson Newman,ii,South Atlantic,7,"[7, 0, 0, 0]",,,,2698,West Georgia,ii,Gulf South,45,"[14, 14, 10, 7]",,,,,,,
401328276,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,5870,Thone Stadium at Buerkle Field,2033,Arkansas Tech,ii,Great American,20,"[7, 0, 6, 7]",,,,199,Southeastern Oklahoma State,ii,Great American,38,"[7, 17, 7, 7]",,,,,,,
401334786,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6035,"Memorial Stadium (Wayne, NE)",2844,Wayne State (NE),ii,Northern Sun,34,"[10, 7, 10, 7]",,,,559,University of Mary,ii,Northern Sun,27,"[0, 0, 14, 13]",,,,,,,
401329015,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,5935,Parker Field at McCool Stadium,2170,Delta State,ii,Gulf South,48,[],,,,2064,Bethel University Tennessee,,,14,[],,,,,,,
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,43928,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,36,"[0, 14, 14, 8]",0.6877216100692749,1648,1651,68,Boise State,fbs,Mountain West,31,"[14, 10, 0, 7]",0.3122783899307251,1602,1599,6.460374628113913,,,
401329270,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,3859,Offutt Field,611,Seton Hill,ii,Pennsylvania State Athletic,16,"[0, 6, 10, 0]",,,,112335,Wheeling,ii,Mountain East,14,"[0, 7, 7, 0]",,,,,,,
401337471,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,,5886,West Family Stadium,2699,West Liberty,ii,Mountain East,6,"[0, 0, 0, 6]",,,,2682,Walsh,ii,Great Midwest Athletic,27,"[3, 14, 3, 7]",,,,,,,
401329443,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,True,,6045,Dwight T. Reed Stadium,2876,Lincoln (MO),ii,Mid America,12,"[6, 6, 0, 0]",,,,2687,Washburn,ii,Mid America,76,"[21, 17, 21, 17]",,,,,,,
