season,team,final_rating,rank
2025,San José State,1306.3,122
2025,Northern Illinois,1306.2,123
2025,Tulsa,1303.1,124
2025,Ball State,1287.6,125
2025,Oregon State,1283.4,126
2025,Colorado State,1282.8,127
2025,New Mexico State,1281.5,128
2025,Oklahoma State,1262.9,129
2025,UL Monroe,1255.7,130
2025,Middle Tennessee,1242.9,131
2025,Sam Houston,1230.8,132
2025,Georgia State,1221.8,133
2025,UTEP,1220.6,134
2025,Charlotte,1193.3,135
2025,Massachusetts,1082.0,136
2026,Georgia,1796.1,1
2026,Notre Dame,1777.0,2
2026,Alabama,1772.7,3
2026,Miami,1766.4,4
2026,Ohio State,1753.4,5
2026,Texas,1749.7,6
2026,Ole Miss,1742.6,7
2026,USC,1722.7,8
2026,Indiana,1718.8,9
2026,Texas Tech,1709.4,10
2026,Tennessee,1701.6,11
2026,Michigan,1686.6,12
2026,Penn State,1684.5,13
2026,BYU,1684.2,14
2026,Missouri,1678.4,15
2026,Utah,1675.5,16
2026,Oregon,1673.1,17
2026,Texas A&M,1669.1,18
2026,LSU,1664.7,19
2026,Vanderbilt,1661.6,20
2026,Oklahoma,1659.1,21
2026,Duke,1657.3,22
2026,Mississippi State,1653.6,23
2026,James Madison,1653.2,24
2026,Iowa,1640.6,25
2026,Florida,1637.2,26
2026,Washington,1628.4,27
2026,Pittsburgh,1627.8,28
2026,Kansas State,1627.0,29
2026,South Florida,1624.0,30
2026,Louisville,1619.9,31
2026,Clemson,1616.5,32
2026,Nebraska,1613.2,33
2026,UCLA,1604.8,34
2026,SMU,1603.3,35
2026,Boise State,1600.6,36
2026,TCU,1585.6,37
2026,Arizona State,1582.4,38
2026,Virginia Tech,1576.0,39
2026,Arizona,1575.1,40
2026,North Dakota State,1574.9,41
2026,West Virginia,1569.7,42
2026,Cincinnati,1567.6,43
2026,Houston,1567.5,44
2026,Iowa State,1564.0,45
2026,Auburn,1563.3,46
2026,Kentucky,1561.0,47
2026,Virginia,1560.7,48
2026,Northwestern,1560.1,49
2026,Fresno State,1558.3,50
2026,Memphis,1556.7,51
2026,Illinois,1554.5,52
2026,South Carolina,1547.0,53
2026,Western Michigan,1543.5,54
2026,Baylor,1540.3,55
2026,UTSA,1532.1,56
2026,UConn,1529.2,57
2026,Tulane,1526.6,58
2026,Wisconsin,1526.4,59
2026,New Mexico,1526.2,60
2026,Michigan State,1524.9,61
2026,North Texas,1523.8,62
2026,Minnesota,1521.9,63
2026,Wake Forest,1521.7,64
2026,NC State,1511.9,65
2026,UNLV,1510.8,66
2026,Georgia Tech,1509.8,67
2026,UCF,1509.6,68
2026,Maryland,1509.3,69
2026,App State,1505.8,70
2026,North Carolina,1505.7,71
2026,Texas State,1505.3,72
2026,Florida State,1501.4,73
2026,East Carolina,1495.0,74
2026,Toledo,1492.3,75
2026,Louisiana,1491.5,76
2026,Marshall,1490.3,77
2026,Troy,1489.1,78
2026,California,1483.6,79
2026,Tulsa,1479.6,80
2026,Liberty,1463.4,81
2026,Florida Atlantic,1459.8,82
2026,South Alabama,1453.4,83
2026,Colorado,1449.6,84
2026,Oklahoma State,1449.3,85
2026,Washington State,1448.6,86
2026,San Diego State,1447.4,87
2026,Jacksonville State,1447.4,88
2026,Boston College,1446.2,89
2026,Florida International,1445.6,90
2026,Central Michigan,1444.7,91
2026,Old Dominion,1444.5,92
2026,Arkansas,1441.0,93
2026,Stanford,1440.0,94
2026,Ohio,1438.4,95
2026,Miami (OH),1436.5,96
2026,Hawai'i,1431.3,97
2026,Kansas,1430.6,98
2026,Navy,1429.6,99
2026,Delaware,1429.2,100
2026,Georgia Southern,1422.4,101
2026,Syracuse,1419.8,102
2026,Louisiana Tech,1419.2,103
2026,Colorado State,1415.9,104
2026,Temple,1407.7,105
2026,Arkansas State,1404.7,106
2026,Army,1403.5,107
2026,Purdue,1402.3,108
2026,Georgia State,1402.2,109
2026,Kennesaw State,1396.5,110
2026,Middle Tennessee,1395.4,111
2026,Coastal Carolina,1393.8,112
2026,Western Kentucky,1391.3,113
2026,Oregon State,1386.0,114
2026,San José State,1384.5,115
2026,Massachusetts,1383.1,116
2026,Rutgers,1383.0,117
2026,UAB,1382.9,118
2026,Rice,1381.7,119
2026,Missouri State,1375.8,120
2026,Buffalo,1371.5,121
2026,Utah State,1370.4,122
2026,Kent State,1369.2,123
2026,Southern Miss,1365.9,124
2026,Akron,1365.1,125
2026,Nevada,1361.7,126
2026,UTEP,1348.7,127
2026,Sam Houston,1346.6,128
2026,Air Force,1344.3,129
2026,Ball State,1341.2,130
2026,Eastern Michigan,1334.3,131
2026,Wyoming,1328.9,132
2026,New Mexico State,1323.7,133
2026,Bowling Green,1309.1,134
2026,Northern Illinois,1309.0,135
2026,Sacramento State,1292.3,136
2026,Charlotte,1292.2,137
2026,UL Monroe,1267.5,138
